shutter_time,counts
0.0160431,56
0.0160543,41
0.0160654,46
0.0160765,38
0.0160877,36
0.0160988,35
0.0161099,39
0.0161211,39
0.0161322,43
0.0161433,46
0.0161545,42
0.0161656,46
0.0161767,58
0.0161879,35
0.016199,47
0.0162101,47
0.0162213,37
0.0162324,43
0.0162435,45
0.0162547,46
0.0162658,42
0.0162769,37
0.0162881,42
0.0162992,57
0.0163103,39
0.0163215,40
0.0163326,39
0.0163437,44
0.0163549,42
0.016366,30
0.0163771,45
0.0163883,35
0.0163994,44
0.0164105,38
0.0164217,36
0.0164328,45
0.0164439,31
0.0164551,41
0.0164662,45
0.0164773,45
0.0164885,45
0.0164996,47
0.0165107,38
0.0165219,28
0.016533,44
0.0165441,34
0.0165553,39
0.0165664,45
0.0165775,43
0.0165887,40
0.0165998,41
0.0166109,42
0.0166221,37
0.0166332,44
0.0166443,41
0.0166555,43
0.0166666,31
0.0166777,0
0.0166889,0
0.0167,0
